ranking_year,ranking_category,institute_id,institute_name,state,city,academic_year,category,value,unit,expected_name
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Number of sponsored projects,421.0,value in Absolute Number,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Number of sponsored projects,325.0,value in Absolute Number,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Number of sponsored projects,219.0,value in Absolute Number,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),328564287.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),290548221.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),289963998.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2022-23,Amount received (INR),242974613.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2021-22,Amount received (INR),193158980.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,Varanasi,2020-21,Amount received (INR),128762896.0,value in Rupees,Indian Institute of Technology (Banaras Hindu University) Varanasi
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2022-23,Number of sponsored projects,1343.0,value in Absolute Number,"Indian Institute of Science, Bengaluru"
2024,Overall,IR-O-U-0220,Indian Institute of Science,Karnataka,Bengaluru,2021-22,Number of sponsored projects,1178.0,value in Absolute Number,"Indian Institute of Science, Bengaluru"
