openalex_id,latitude,longitude,geo_source
I145894827,22.3146519,87.3099912,campus_indian_institute_of_technology_kharagpur
I162827531,19.133602,72.915631,campus_powai_iitb
I24676775,12.9915,80.2337,campus_iit_madras
I94234084,26.513188,80.2364843,campus_indian_institute_of_technology_kanpur
I68891433,28.5455,77.1926,campus_iit_delhi
I1317621060,26.1924788,91.6946357,campus_indian_institute_of_technology_guwahati
I154851008,29.8661656,77.8957348,campus_indian_institute_of_technology_roorkee
I99729588,20.2961,85.8248,campus_iit_bbs
I27674431,23.2155,72.6858,campus_iit_gandhinagar
I65181880,17.4224884,78.5404469,campus_indian_institute_of_technology_hyderabad
I154549908,26.4729401,73.1143375,campus_indian_institute_of_technology_jodhpur
I132153292,25.5424381,84.8516072,campus_indian_institute_of_technology_patna
I119241673,30.9659501,76.4729772,campus_indian_institute_of_technology_ropar
I64295750,22.5269276,75.9262066,campus_indian_institute_of_technology_indore
I9579091,31.7063321,76.9385693,campus_indian_institute_of_technology_mandi
I56404289,25.2621544,82.9925896,campus_indian_institute_of_technology_bhu_varan
I4210113248,10.7905,76.6548,campus_iit_palakkad
I4210109292,13.712786,79.5899932,campus_indian_institute_of_technology_tirupati
I189109744,23.7956,86.4302,campus_iit_dhanbad
I4210121466,21.254,81.554,campus_iit_bhilai
I4210112052,15.4232905,73.9789313,campus_indian_institute_of_technology_goa
I4210127441,32.8022368,74.8913825,campus_indian_institute_of_technology_jammu
I4210152718,15.4862017,74.9385785,campus_indian_institute_of_technology_dharwad
I59270414,13.0222347,77.5671832,campus_indian_institute_of_science
I63739035,28.5667,77.209,campus_aiims
I110166357,28.6829,77.2065,campus_du_north
I876193797,12.9692,79.1559,campus_vit
I91357014,25.2663747,82.9904648,campus_banaras_hindu_university
I85461943,13.0549,80.2832,campus_saveetha
I45294948,30.764,76.7754,campus_pgi
I164861460,13.352,74.7869,campus_manipal
I145286018,12.8236,80.0442,campus_srm_chennai
I99552915,26.8912,75.8153,campus_rajasthan_univ
I170979836,22.4995309,88.3715953,campus_jadavpur_university
I51317819,25.2622446,82.909614,campus_institute_of_medical_sciences
I33585257,13.0116,80.2362,campus_anna_univ
I171210897,27.9159,78.0812,campus_amu
I106542073,22.5763,88.3639,campus_calcutta_univ
I99364266,28.6545,77.4545,campus_acsir_ghaziabad
I81556334,10.9024,76.9024,campus_amrita_coimbatore
I110360157,31.2534122,75.7034029,campus_lovely_professional_university
I51452335,30.7639,76.7885,campus_panjab_univ
I878213199,18.5535,73.8257,campus_sp_pune
I11947397,18.907124,72.804964,campus_colaba_tifr
I101407740,30.732,76.731,campus_chandigarh_university
I152429107,28.5383,77.166,campus_jnu
I36893310,17.4530357,78.3270312,campus_university_of_hyderabad
I197081775,11.390716,79.7114928,campus_annamalai_university
I48018076,12.9337799,77.6051611,campus_christ_university
I191972202,28.5432229,77.3327483,campus_amity_university
I74319210,30.5165,76.6598,campus_chitkara
I200207707,19.0484,72.9254,campus_anushakti_hbni
I60054993,30.3165,78.0322,campus_graphic_era
I6498739,22.5258,88.3662,campus_isi_kolkata
I59475050,28.5617,77.28,campus_jamia
I172917736,12.9249,79.1336,campus_cmc_vellore
I16292982,22.2501589,84.9066856,campus_national_institute_of_technology_rourkel
I83205935,26.8727,75.8187,campus_mnit_jaipur
I74796645,28.3672,75.6035,campus_bits_pilani
I215927,13.0661,80.2713,campus_madras_univ
I122964287,10.7587,78.8044,campus_nit_trichy
I875944469,16.5075,80.6466,campus_kl_university
I244572783,18.5364,73.8314,campus_symbiosis
I76414455,13.355,74.7862,campus_kmc_manipal
I67357951,20.3558,85.8138,campus_kiit
I106826634,12.9181468,77.5919058,campus_jain_university
I100887729,17.7324,83.3265,campus_andhra_univ
