inst_a,inst_b,openalex_a,openalex_b,year,weight,citation_weight
49837a23-0599-4a35-a43f-15be413cc1a0,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I162827531,I59270414,2016,25,1385
b45c2598-3515-4da1-9660-75a5ff4428fa,49837a23-0599-4a35-a43f-15be413cc1a0,I121750182,I162827531,2020,5,601
b45c2598-3515-4da1-9660-75a5ff4428fa,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I121750182,I59270414,2020,4,603
49837a23-0599-4a35-a43f-15be413cc1a0,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I162827531,I59270414,2020,25,904
e9cc852d-c229-4457-a316-e8f38255c048,62ed1d2c-52ae-4ba2-8c99-95f009b95972,I145894827,I24676775,2020,15,919
e9cc852d-c229-4457-a316-e8f38255c048,c4ff2815-fe99-4fc1-a6c3-402ac6322a76,I145894827,I27674431,2020,13,855
e9cc852d-c229-4457-a316-e8f38255c048,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I145894827,I59270414,2020,25,1108
e9cc852d-c229-4457-a316-e8f38255c048,129be347-f8df-4fd2-b553-37ff0fd31af1,I145894827,I94234084,2020,29,1235
62ed1d2c-52ae-4ba2-8c99-95f009b95972,c4ff2815-fe99-4fc1-a6c3-402ac6322a76,I24676775,I27674431,2020,4,525
62ed1d2c-52ae-4ba2-8c99-95f009b95972,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I24676775,I59270414,2020,28,835
62ed1d2c-52ae-4ba2-8c99-95f009b95972,129be347-f8df-4fd2-b553-37ff0fd31af1,I24676775,I94234084,2020,10,554
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I27674431,I59270414,2020,6,589
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,129be347-f8df-4fd2-b553-37ff0fd31af1,I27674431,I94234084,2020,6,579
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,129be347-f8df-4fd2-b553-37ff0fd31af1,I59270414,I94234084,2020,23,1008
5f90b565-15b8-4035-ab58-963431c3275d,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I56404289,I59270414,2020,10,570
5f90b565-15b8-4035-ab58-963431c3275d,672214f6-22a9-4d55-8c6c-5b28a5159516,I56404289,I91357014,2020,950,19725
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,672214f6-22a9-4d55-8c6c-5b28a5159516,I59270414,I91357014,2020,17,716
cb03a5e5-b2f5-4e95-af9f-a170aab03713,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I165998391,I59270414,2016,12,612
1067ba73-ff68-46c5-b68e-4bf7cda57988,6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I110360157,I59270414,2022,12,561
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,47b972a6-fdf5-499c-a99f-fd0fedb15993,I59270414,I85461943,2018,2,316
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I59270414,I876193797,2018,5,374
47b972a6-fdf5-499c-a99f-fd0fedb15993,fd56c1b8-3390-4d13-9121-2b061d0b11ac,I85461943,I876193797,2018,13,834
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,I59270414,I83205935,2019,4,323
