institution_id,canonical_name,research_funding_cr,sponsored_projects,total_expenditure_cr,funding_academic_year,match_score
e9cc852d-c229-4457-a316-e8f38255c048,Indian Institute of Technology Kharagpur,193.82,956,,2022-23,1.0
49837a23-0599-4a35-a43f-15be413cc1a0,Indian Institute of Technology Bombay,476.27,1378,,2022-23,1.0
62ed1d2c-52ae-4ba2-8c99-95f009b95972,Indian Institute of Technology Madras,592.22,699,,2022-23,1.0
129be347-f8df-4fd2-b553-37ff0fd31af1,Indian Institute of Technology Kanpur,215.18,1018,,2022-23,1.0
0e3df575-bd15-41f1-821e-51c48763aa57,Indian Institute of Technology Delhi,333.41,595,,2022-23,1.0
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,Indian Institute of Technology Guwahati,144.67,330,,2022-23,1.0
f755a6a4-7f5e-4286-a36e-f3db5550661d,Indian Institute of Technology Roorkee,104.87,188,,2022-23,1.0
d51bcfb2-a187-49fa-9ebd-fd12ae98e331,Indian Institute of Technology Bhubaneswar,9.18,177,,2022-23,1.0
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,Indian Institute of Technology Gandhinagar,57.51,262,,2022-23,1.0
7553f510-4039-4c36-b5d3-2dd983d9bc70,Indian Institute of Technology Hyderabad,79.77,315,,2022-23,1.0
5bcb34a1-ac72-47e1-9dd5-b295d7e8664f,Indian Institute of Technology Jodhpur,37.16,269,,2022-23,1.0
ff60ecf0-39c2-4a17-a941-2b03df4ce12b,Indian Institute of Technology Patna,44.25,63,,2022-23,1.0
aa83bbde-9db5-4ca5-ab64-f2cec6d6f46f,Indian Institute of Technology Ropar,55.29,141,,2022-23,1.0
92004806-cba2-4966-9ebf-9f31bc5a9597,Indian Institute of Technology Indore,33.03,174,,2022-23,1.0
e98e91f3-ef30-41ea-b7e9-c708270266ba,Indian Institute of Technology Mandi,15.65,170,,2022-23,1.0
5f90b565-15b8-4035-ab58-963431c3275d,Indian Institute of Technology (BHU) Varanasi,206.94,648,,2022-23,1.0
f557894b-a324-439c-a6a7-f6d2a87a6bed,Indian Institute of Technology Palakkad,8.68,32,,2022-23,1.0
7b3d00a5-49ca-420b-a758-0534ef4fedc2,Indian Institute of Technology Tirupati,9.57,86,,2022-23,1.0
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,Indian Institute of Technology (ISM) Dhanbad,30.54,166,,2022-23,1.0
732980be-8d6a-4c03-8a1c-dcd5b939e27f,Indian Institute of Technology Bhilai,35.37,73,,2022-23,1.0
a2b7b421-2ef8-4071-80e7-dcafdc7c3ecf,Indian Institute of Technology Goa,,,,,
f6a0e07c-58dc-463e-8e04-d8d08a9a7342,Indian Institute of Technology Jammu,8.15,74,,2022-23,1.0
1a5bd65a-cf0d-45e2-8735-5434d64998b8,Indian Institute of Technology Dharwad,12.24,25,,2022-23,1.0
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,Indian Institute of Science,534.77,1343,,2022-23,1.0
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,All India Institute of Medical Sciences,197.08,904,,2022-23,1.0
4d6717be-0714-4972-b1d4-571c58d9a46f,University of Delhi,49.11,444,,2022-23,1.0
fd56c1b8-3390-4d13-9121-2b061d0b11ac,Vellore Institute of Technology University,13.91,146,,2022-23,0.95
672214f6-22a9-4d55-8c6c-5b28a5159516,Banaras Hindu University,206.94,648,,2022-23,1.0
47b972a6-fdf5-499c-a99f-fd0fedb15993,Saveetha University,,,,,
131f1481-eede-4a15-a738-57b4c90b26ad,Post Graduate Institute of Medical Education and Research,,,,,
c7f37aac-de96-454a-bf3d-af0ff418e79e,Manipal Academy of Higher Education,35.01,385,,2022-23,1.0
93e1f5b3-3c8f-4e18-a29b-afa586e5d865,SRM Institute of Science and Technology,,,,,
4a1e94cf-f0b6-4560-ab2c-bd58ab8792ac,University of Rajasthan,,,,,
6627a151-3a0d-44f3-adf4-d5255e5a4cc9,Jadavpur University,36.59,140,,2022-23,1.0
0e011302-5676-4cf1-95b3-f0adc82f6893,Institute of Medical Sciences,206.94,648,,2022-23,1.0
736be13b-21db-4757-bfac-35c77c891892,"Anna University, Chennai",,,,,
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,Aligarh Muslim University,75.13,227,,2022-23,1.0
bd7fc63e-4dd7-488f-8022-1332b3642dcf,University of Calcutta,,,,,
