institution_id,openalex_id,canonical_name,scimago_idp,scimago_rank,scimago_global_rank,scimago_pct,scimago_percentile,scimago_q1_pct,scimago_year
e9cc852d-c229-4457-a316-e8f38255c048,I145894827,Indian Institute of Technology Kharagpur,3324,11,2907,1.99,19.0,1.99,2019
49837a23-0599-4a35-a43f-15be413cc1a0,I162827531,Indian Institute of Technology Bombay,3320,17,3493,3.07,22.0,3.07,2019
62ed1d2c-52ae-4ba2-8c99-95f009b95972,I24676775,Indian Institute of Technology Madras,3325,18,3578,3.25,22.0,3.25,2019
129be347-f8df-4fd2-b553-37ff0fd31af1,I94234084,Indian Institute of Technology Kanpur,3323,30,5769,5.42,34.0,5.42,2019
0e3df575-bd15-41f1-821e-51c48763aa57,I68891433,Indian Institute of Technology Delhi,3321,12,2895,2.17,19.0,2.17,2019
bb26b384-ecf2-4f86-8b53-dd74d42d8f05,I1317621060,Indian Institute of Technology Guwahati,3322,33,5969,5.97,37.0,5.97,2019
f755a6a4-7f5e-4286-a36e-f3db5550661d,I154851008,Indian Institute of Technology Roorkee,10302,28,4493,5.06,31.0,5.06,2019
d51bcfb2-a187-49fa-9ebd-fd12ae98e331,I99729588,Indian Institute of Technology Bhubaneswar,73483,211,7730,38.16,73.0,38.16,2019
c4ff2815-fe99-4fc1-a6c3-402ac6322a76,I27674431,Indian Institute of Technology Gandhinagar,74688,114,7888,20.61,60.0,20.61,2019
7553f510-4039-4c36-b5d3-2dd983d9bc70,I65181880,Indian Institute of Technology Hyderabad,73482,45,6584,8.14,41.0,8.14,2019
5bcb34a1-ac72-47e1-9dd5-b295d7e8664f,I154549908,Indian Institute of Technology Jodhpur,92157,176,8352,31.83,69.0,31.83,2019
ff60ecf0-39c2-4a17-a941-2b03df4ce12b,I132153292,Indian Institute of Technology Patna,73481,133,8211,24.05,63.0,24.05,2019
aa83bbde-9db5-4ca5-ab64-f2cec6d6f46f,I119241673,Indian Institute of Technology Ropar,73484,184,8745,33.27,70.0,33.27,2019
92004806-cba2-4966-9ebf-9f31bc5a9597,I64295750,Indian Institute of Technology Indore,73485,91,7137,16.46,55.0,16.46,2019
e98e91f3-ef30-41ea-b7e9-c708270266ba,I9579091,Indian Institute of Technology Mandi,92077,141,8385,25.5,64.0,25.5,2019
5f90b565-15b8-4035-ab58-963431c3275d,I56404289,Indian Institute of Technology (BHU) Varanasi,83509,80,7541,14.47,53.0,14.47,2019
f557894b-a324-439c-a6a7-f6d2a87a6bed,I4210113248,Indian Institute of Technology Palakkad,73481,133,8211,24.05,63.0,24.05,2019
7b3d00a5-49ca-420b-a758-0534ef4fedc2,I4210109292,Indian Institute of Technology Tirupati,73481,133,8211,24.05,63.0,24.05,2019
6f93f0ad-7358-4fd0-bc47-0a62092ca0ac,I189109744,Indian Institute of Technology (ISM) Dhanbad,3327,71,6909,12.84,51.0,12.84,2019
732980be-8d6a-4c03-8a1c-dcd5b939e27f,I4210121466,Indian Institute of Technology Bhilai,3321,12,2895,2.17,19.0,2.17,2019
a2b7b421-2ef8-4071-80e7-dcafdc7c3ecf,I4210112052,Indian Institute of Technology Goa,73484,184,8745,33.27,70.0,33.27,2019
f6a0e07c-58dc-463e-8e04-d8d08a9a7342,I4210127441,Indian Institute of Technology Jammu,3323,30,5769,5.42,34.0,5.42,2019
1a5bd65a-cf0d-45e2-8735-5434d64998b8,I4210152718,Indian Institute of Technology Dharwad,97201,216,9653,39.06,74.0,39.06,2019
6fb57ff7-f044-4eb9-b7d6-bebdef022df4,I59270414,Indian Institute of Science,3319,9,2305,1.63,18.0,1.63,2019
2dbad614-cedc-4bdc-a02e-8a66054a8bd9,I63739035,All India Institute of Medical Sciences,3232,7,710,1.27,14.0,1.27,2019
4d6717be-0714-4972-b1d4-571c58d9a46f,I110166357,University of Delhi,3281,14,3042,2.53,20.0,2.53,2019
fd56c1b8-3390-4d13-9121-2b061d0b11ac,I876193797,Vellore Institute of Technology University,96297,527,9234,95.3,98.0,95.3,2019
672214f6-22a9-4d55-8c6c-5b28a5159516,I91357014,Banaras Hindu University,3249,29,4437,5.24,33.0,5.24,2019
47b972a6-fdf5-499c-a99f-fd0fedb15993,I85461943,Saveetha University,70915,484,8917,87.52,95.0,87.52,2019
131f1481-eede-4a15-a738-57b4c90b26ad,I45294948,Post Graduate Institute of Medical Education and Research,3419,31,2832,5.61,35.0,5.61,2019
c7f37aac-de96-454a-bf3d-af0ff418e79e,I164861460,Manipal Academy of Higher Education,3381,10,1539,1.81,18.0,1.81,2019
93e1f5b3-3c8f-4e18-a29b-afa586e5d865,I145286018,SRM Institute of Science and Technology,97136,507,9578,91.68,96.0,91.68,2019
4a1e94cf-f0b6-4560-ab2c-bd58ab8792ac,I99552915,University of Rajasthan,3492,104,7900,18.81,58.0,18.81,2019
6627a151-3a0d-44f3-adf4-d5255e5a4cc9,I170979836,Jadavpur University,3337,118,6688,21.34,61.0,21.34,2019
0e011302-5676-4cf1-95b3-f0adc82f6893,I51317819,Institute of Medical Sciences,3407,315,7526,56.96,82.0,56.96,2019
736be13b-21db-4757-bfac-35c77c891892,I33585257,"Anna University, Chennai",3237,41,6042,7.41,39.0,7.41,2019
18ae8c5a-a263-4906-9d6a-25bf48ed31e6,I171210897,Aligarh Muslim University,3231,43,3790,7.78,40.0,7.78,2019
bd7fc63e-4dd7-488f-8022-1332b3642dcf,I106542073,University of Calcutta,10299,119,8047,21.52,61.0,21.52,2019
ae9d1da9-8ea6-45ab-ab98-70e36ba8a21b,I99364266,Academy of Scientific and Innovative Research,80567,22,3164,3.98,25.0,3.98,2019
1067ba73-ff68-46c5-b68e-4bf7cda57988,I110360157,Lovely Professional University,70977,34,4465,6.15,37.0,6.15,2019
2050b90e-0227-468a-8571-63864a963f7c,I51452335,Panjab University,3415,42,5902,7.59,39.0,7.59,2019
b539f583-d8d6-437c-9ae4-5807681767b9,I11947397,Tata Institute of Fundamental Research,58797,70,3889,12.66,51.0,12.66,2019
fef15cf2-3c2a-4059-85a5-f9737b912a4c,I101407740,Chandigarh University,91915,93,6286,16.82,55.0,16.82,2019
dc14b8e6-72b8-4c26-bec4-815435b7b8b7,I152429107,Jawaharlal Nehru University,3345,57,7183,10.31,48.0,10.31,2019
b49755e6-20af-465e-9c60-82974ede833a,I36893310,University of Hyderabad,3481,82,7845,14.83,53.0,14.83,2019
ead97a8a-02d7-4f7b-b0b3-0a56f78257cb,I197081775,Annamalai University,3239,182,7833,32.91,70.0,32.91,2019
f03f9fd4-2251-4e13-8c6c-5e3ca946f289,I48018076,Christ University,91891,121,7876,21.88,61.0,21.88,2019
d5b58b79-7727-4cac-b9d6-1735e93b2968,I191972202,Amity University,10197,16,2992,2.89,22.0,2.89,2019
ac8b1844-88b8-465a-9729-6f0ca11190f9,I74319210,Chitkara University,91891,121,7876,21.88,61.0,21.88,2019
3ccdda45-076a-4fcb-af38-2f4b09aa8ccb,I200207707,Homi Bhabha National Institute,92032,186,5467,33.63,71.0,33.63,2019
d031820e-53e0-49a4-b0c5-edb3a7724b8a,I60054993,Graphic Era University,77741,242,7454,43.76,76.0,43.76,2019
0d8fc077-1885-4fe9-a175-49b042facab9,I6498739,Indian Statistical Institute,3328,83,7084,15.01,53.0,15.01,2019
620c0800-344d-45c2-8c05-b0876f7dac8f,I172917736,"Christian Medical College, Vellore",56265,59,5139,10.67,49.0,10.67,2019
edf10c4c-ca24-4805-b33c-ddf5428d22ff,I16292982,National Institute of Technology Rourkela,3399,116,7291,20.98,60.0,20.98,2019
6f6f6042-e2c5-451a-a92d-2bc27b8fa5e4,I83205935,Malaviya National Institute of Technology Jaipur,3379,172,7242,31.1,69.0,31.1,2019
d93978d3-2c97-47c6-8d5a-b6472222104c,I74796645,"Birla Institute of Technology and Science, Pilani",3264,26,4906,4.7,28.0,4.7,2019
80153acc-b176-42b7-b0f1-dd40b152084d,I215927,University of Madras,3487,166,8968,30.02,68.0,30.02,2019
5866f537-6318-4586-bf6d-4433c5b4bbf7,I122964287,National Institute of Technology Tiruchirappalli,10265,109,8059,19.71,60.0,19.71,2019
e53966df-0e1d-4551-bffd-ab1bde3800e4,I244572783,Symbiosis International University,3463,79,5986,14.29,53.0,14.29,2019
48e9b5fb-0b5b-42f0-a98b-cbc31d34b300,I67357951,KIIT University,77676,66,6368,11.93,51.0,11.93,2019
4521b7d6-9c9f-41f9-8061-593ae0c361dc,I106826634,Jain University,77743,153,8354,27.67,66.0,27.67,2019
