name_norm,institute_name_nirf,nirf_institute_ids,academic_year,ranking_year,research_funding_cr,sponsored_projects,total_expenditure_cr
academy of scientific and innovative research,Academy of Scientific and Innovative Research,IR-R-U-0713,2022-23,2024,617.83,1439,
aligarh muslim university,Aligarh Muslim University,IR-O-U-0496,2022-23,2024,75.13,227,
all india institute of medical sciences,All India Institute of Medical Sciences,IR-D-N-15|IR-O-N-15,2022-23,2024,197.08,904,
all india institute of medical sciences bhopal,All India Institute of Medical Sciences Bhopal,IR-D-U-0687|IR-O-U-0686,2022-23,2024,31.73,144,
all india institute of medical sciences raipur,All India Institute of Medical Sciences Raipur,IR-D-U-0690|IR-O-U-0689,2022-23,2024,5.41,71,
amity university,Amity University,IR-O-U-0497,2022-23,2024,20.15,121,
amrita vishwa vidyapeetham,Amrita Vishwa Vidyapeetham,IR-O-U-0436,2022-23,2024,260.48,124,
andhra university,Andhra University,IR-O-U-0006,2022-23,2024,50.33,87,
anna university,Anna University,IR-O-U-0439,2022-23,2024,38.36,93,
annamalai university,Annamalai University,IR-P-U-0443,2022-23,2024,,0,
banaras hindu university,Banaras Hindu University,IR-O-U-0500,2022-23,2024,206.94,648,
bharath institute of higher education and research,Bharath Institute of Higher Education and Research,IR-O-U-0446,2022-23,2024,2.15,193,
bharathiar university,Bharathiar University,IR-O-U-0447,2022-23,2024,13.69,110,
bharathidasan university,Bharathidasan University,IR-O-U-0448,2022-23,2024,34.86,60,
bharati vidyapeeth,Bharati Vidyapeeth,IR-O-I-1361,2022-23,2024,21.41,237,
birla institute of technology and science pilani,"Birla Institute of Technology and Science, Pilani",IR-E-U-0391|IR-O-U-0391,2022-23,2024,33.06,190,
birla institute of technology mesra,"Birla Institute of Technology, Mesra",IR-E-U-0202,2022-23,2024,6.74,42,
central university of rajasthan,Central University of Rajasthan,IR-P-U-0392,2022-23,2024,0.62,10,
chandigarh university,Chandigarh University,IR-O-U-0747,2022-23,2024,64.16,148,
