name_norm,institute_name_nirf,nirf_institute_id,patent_calendar_year,patents_published,patents_granted,patents_published_3yr,patents_granted_3yr
institute of medical sciences,Institute of Medical Sciences,IR-D-U-0500,2022,6,4,16,9
thapar institute of engineering technology,Thapar Institute of Engineering & Technology,IR-E-I-1480,2022,75,17,130,74
national institute of technology warangal,National Institute of Technology Warangal,IR-E-U-0025,2022,10,2,27,27
birla institute of technology mesra,"Birla Institute of Technology, Mesra",IR-E-U-0202,2022,11,4,22,11
national institute of technology karnataka,National Institute of Technology Karnataka,IR-E-U-0237,2022,18,9,44,24
indian institute of technology bhubaneswar,Indian Institute of Technology Bhubaneswar,IR-E-U-0355,2022,7,2,14,4
national institute of technology rourkela,National Institute of Technology Rourkela,IR-E-U-0357,2022,11,8,37,17
malaviya national institute of technology jaipur,Malaviya National Institute of Technology Jaipur,IR-E-U-0410,2022,7,7,15,13
national institute of technology tiruchirappalli,National Institute of Technology Tiruchirappalli,IR-E-U-0467,2022,15,15,31,29
vellore institute of technology university,Vellore Institute of Technology University,IR-E-U-0490,2022,76,12,333,39
indian institute of technology tirupati,Indian Institute of Technology Tirupati,IR-E-U-0844,2022,1,1,4,2
indian institute of technology palakkad,Indian Institute of Technology Palakkad,IR-E-U-0878,2022,2,2,4,3
galgotias university,Galgotias University,IR-M-U-0643,2022,99,17,237,59
indian institute of technology delhi,Indian Institute of Technology Delhi,IR-O-I-1074,2022,108,88,359,221
indian institute of technology kanpur,Indian Institute of Technology Kanpur,IR-O-I-1075,2022,52,104,141,214
saveetha university,Saveetha University,IR-O-I-1441,2022,252,7,455,22
thapar institute of engineering technology,Thapar Institute of Engineering & Technology,IR-O-I-1480,2022,75,17,130,74
andhra university,Andhra University,IR-O-U-0006,2022,63,9,127,18
indian institute of technology hyderabad,Indian Institute of Technology Hyderabad,IR-O-U-0013,2022,28,12,83,20
koneru lakshmaiah education foundation,Koneru Lakshmaiah Education Foundation,IR-O-U-0020,2022,338,8,600,12
national institute of technology warangal,National Institute of Technology Warangal,IR-O-U-0025,2022,10,2,27,27
indian institute of technology guwahati,Indian Institute of Technology Guwahati,IR-O-U-0053,2022,25,10,106,30
panjab university,Panjab University,IR-O-U-0078,2022,34,23,83,56
delhi technological university,Delhi Technological University,IR-O-U-0098,2022,23,4,53,7
jamia hamdard,Jamia Hamdard,IR-O-U-0107,2022,5,0,14,4
jamia millia islamia,Jamia Millia Islamia,IR-O-U-0108,2022,26,16,101,39
jawaharlal nehru university,Jawaharlal Nehru University,IR-O-U-0109,2022,25,2,44,7
indian institute of technology gandhinagar,Indian Institute of Technology Gandhinagar,IR-O-U-0139,2022,7,4,23,8
indian institute of technology mandi,Indian Institute of Technology Mandi,IR-O-U-0184,2022,17,11,40,21
indian institute of technology ism dhanbad,Indian Institute of Technology (ISM) Dhanbad,IR-O-U-0205,2022,11,12,19,22
indian institute of science,Indian Institute of Science,IR-O-U-0220,2022,165,62,245,129
jain university,Jain University,IR-O-U-0223,2022,704,8,785,18
manipal academy of higher education,Manipal Academy of Higher Education,IR-O-U-0234,2022,25,7,69,14
national institute of technology karnataka,National Institute of Technology Karnataka,IR-O-U-0237,2022,18,9,44,24
indian institute of technology indore,Indian Institute of Technology Indore,IR-O-U-0273,2022,13,8,31,19
indian institute of technology bombay,Indian Institute of Technology Bombay,IR-O-U-0306,2022,228,140,499,357
symbiosis international university,Symbiosis International University,IR-O-U-0329,2022,88,3,161,5
kiit university,KIIT University,IR-O-U-0356,2022,100,34,210,97
national institute of technology rourkela,National Institute of Technology Rourkela,IR-O-U-0357,2022,11,8,37,17
chitkara university,Chitkara University,IR-O-U-0373,2022,381,193,540,293
indian institute of technology ropar,Indian Institute of Technology Ropar,IR-O-U-0378,2022,11,6,41,13
lovely professional university,Lovely Professional University,IR-O-U-0379,2022,941,65,2089,160
malaviya national institute of technology jaipur,Malaviya National Institute of Technology Jaipur,IR-O-U-0410,2022,7,7,15,13
saveetha university,Saveetha University,IR-O-U-0439,2022,70,37,211,83
bharathiar university,Bharathiar University,IR-O-U-0447,2022,2,4,5,9
indian institute of technology madras,Indian Institute of Technology Madras,IR-O-U-0456,2022,247,192,687,459
national institute of technology tiruchirappalli,National Institute of Technology Tiruchirappalli,IR-O-U-0467,2022,15,15,31,29
presidency university,Presidency University,IR-O-U-0470,2022,9,2,17,5
srm institute of science and technology,SRM Institute of Science and Technology,IR-O-U-0473,2022,126,32,383,70
sathyabama institute of science and technology,Sathyabama Institute of Science and Technology,IR-O-U-0474,2022,199,78,393,115
sastra university,SASTRA University,IR-O-U-0476,2022,11,5,24,15
vel tech rangarajan dr sagunthala r d institute of science and technology,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,IR-O-U-0489,2022,43,13,102,25
vellore institute of technology university,Vellore Institute of Technology University,IR-O-U-0490,2022,76,12,333,39
aligarh muslim university,Aligarh Muslim University,IR-O-U-0496,2022,5,5,24,26
amity university,Amity University,IR-O-U-0497,2022,78,69,262,149
banaras hindu university,Banaras Hindu University,IR-O-U-0500,2022,6,4,16,9
indian institute of technology roorkee,Indian Institute of Technology Roorkee,IR-O-U-0560,2022,74,30,208,46
university of petroleum and energy studies,University of Petroleum and Energy Studies,IR-O-U-0564,2022,31,7,122,15
indian institute of technology kharagpur,Indian Institute of Technology Kharagpur,IR-O-U-0573,2022,41,25,174,62
indian institute of technology bhu varanasi,Indian Institute of Technology (BHU) Varanasi,IR-O-U-0701,2022,17,41,129,43
chandigarh university,Chandigarh University,IR-O-U-0747,2022,810,24,1524,91
gitam university,GITAM University,IR-P-U-0011,2022,122,4,226,22
annamalai university,Annamalai University,IR-P-U-0443,2022,6,0,6,0
gla university,GLA University,IR-P-U-0513,2022,125,10,346,30
