ranking_year,institute_id,institute_name,state,city,calendar_year,category,sub_category,value,unit
2024,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2022,Patents,Number of Patents Published,41,value in Absolute Number
2024,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2021,Patents,Number of Patents Published,60,value in Absolute Number
2024,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2020,Patents,Number of Patents Published,73,value in Absolute Number
2024,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2022,Patents,Number of Patents Granted,25,value in Absolute Number
2024,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2021,Patents,Number of Patents Granted,17,value in Absolute Number
2024,IR-O-U-0573,Indian Institute of Technology Kharagpur,West Bengal,Kharagpur,2020,Patents,Number of Patents Granted,20,value in Absolute Number
2024,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2022,Patents,Number of Patents Published,228,value in Absolute Number
2024,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2021,Patents,Number of Patents Published,142,value in Absolute Number
2024,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2020,Patents,Number of Patents Published,129,value in Absolute Number
2024,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2022,Patents,Number of Patents Granted,140,value in Absolute Number
2024,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2021,Patents,Number of Patents Granted,116,value in Absolute Number
2024,IR-O-U-0306,Indian Institute of Technology Bombay,Maharashtra,Mumbai,2020,Patents,Number of Patents Granted,101,value in Absolute Number
2024,IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,Chennai,2022,Patents,Number of Patents Published,247,value in Absolute Number
2024,IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,Chennai,2021,Patents,Number of Patents Published,197,value in Absolute Number
2024,IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,Chennai,2020,Patents,Number of Patents Published,243,value in Absolute Number
2024,IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,Chennai,2022,Patents,Number of Patents Granted,192,value in Absolute Number
2024,IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,Chennai,2021,Patents,Number of Patents Granted,144,value in Absolute Number
2024,IR-O-U-0456,Indian Institute of Technology Madras,Tamil Nadu,Chennai,2020,Patents,Number of Patents Granted,123,value in Absolute Number
2024,IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,2022,Patents,Number of Patents Published,52,value in Absolute Number
2024,IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,2021,Patents,Number of Patents Published,42,value in Absolute Number
2024,IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,2020,Patents,Number of Patents Published,47,value in Absolute Number
2024,IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,2022,Patents,Number of Patents Granted,104,value in Absolute Number
2024,IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,2021,Patents,Number of Patents Granted,54,value in Absolute Number
2024,IR-O-I-1075,Indian Institute of Technology Kanpur,Uttar Pradesh,Kanpur,2020,Patents,Number of Patents Granted,56,value in Absolute Number
2024,IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,New Delhi,2022,Patents,Number of Patents Published,108,value in Absolute Number
2024,IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,New Delhi,2021,Patents,Number of Patents Published,154,value in Absolute Number
2024,IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,New Delhi,2020,Patents,Number of Patents Published,97,value in Absolute Number
2024,IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,New Delhi,2022,Patents,Number of Patents Granted,88,value in Absolute Number
2024,IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,New Delhi,2021,Patents,Number of Patents Granted,77,value in Absolute Number
2024,IR-O-I-1074,Indian Institute of Technology Delhi,Delhi,New Delhi,2020,Patents,Number of Patents Granted,56,value in Absolute Number
2024,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2022,Patents,Number of Patents Published,25,value in Absolute Number
2024,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2021,Patents,Number of Patents Published,46,value in Absolute Number
2024,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2020,Patents,Number of Patents Published,35,value in Absolute Number
2024,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2022,Patents,Number of Patents Granted,10,value in Absolute Number
2024,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2021,Patents,Number of Patents Granted,16,value in Absolute Number
2024,IR-O-U-0053,Indian Institute of Technology Guwahati,Assam,Guwahati,2020,Patents,Number of Patents Granted,4,value in Absolute Number
2024,IR-O-U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,2022,Patents,Number of Patents Published,74,value in Absolute Number
2024,IR-O-U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,2021,Patents,Number of Patents Published,104,value in Absolute Number
2024,IR-O-U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Roorkee,2020,Patents,Number of Patents Published,30,value in Absolute Number
