institute_id,institute_name,city,state,score,rank,ranking_category,nirf_year
IR-G-U-0101,Indian Agricultural Research Institute,New Delhi,Delhi,87.98,1,Agriculture,2024
IR-G-U-0171,ICAR - National Dairy Research Institute,Karnal,Haryana,71.18,2,Agriculture,2024
IR-G-U-0381,Punjab Agricultural University,Ludhiana,Punjab,69.63,3,Agriculture,2024
IR-G-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,68.32,4,Agriculture,2024
IR-G-U-0518,"Indian Veterinary Research Institute, Izatnagar",Bareilly,Uttar Pradesh,67.76,5,Agriculture,2024
IR-G-U-0485,Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,64.92,6,Agriculture,2024
IR-G-U-0159,Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,63.75,7,Agriculture,2024
IR-G-U-0554,G.B. Pant Universtiy of Agriculture and Technology,Pantnagar,Uttarakhand,61.77,8,Agriculture,2024
IR-G-U-0293,"Central Institute of Fisheries Education, Fishries University",Mumbai,Maharashtra,61.37,9,Agriculture,2024
IR-G-U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Srinagar,Jammu and Kashmir,61.04,10,Agriculture,2024
IR-G-U-0248,University of Agricultural Sciences,Bengaluru,Karnataka,59.13,11,Agriculture,2024
IR-G-C-45375,"National Institute of Food Technology, Entrepreneurship and Management",Thanjavur,Tamil Nadu,56.8,12,Agriculture,2024
IR-G-U-0568,Bidhan Chandra Krishi Vishwavidyalaya,Nadia,West Bengal,56.67,13,Agriculture,2024
IR-G-U-0048,Assam Agricultural University,Jorhat,Assam,55.67,14,Agriculture,2024
IR-G-U-0360,Odisha University of Agriculture and Technology,Khordha,Odisha,55.65,15,Agriculture,2024
IR-G-U-0257,Kerala Agricultural University,Thrissur,Kerala,55.3,16,Agriculture,2024
IR-G-U-0487,Tamil Nadu Veterinary and Animal Sciences University,Chennai,Tamil Nadu,55.19,17,Agriculture,2024
IR-G-U-0181,Dr. Y.S. Parmar University of Horticulture and Forestry,Solan,Himachal Pradesh,54.67,18,Agriculture,2024
IR-G-U-0179,Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Kangra,Himachal Pradesh,54.55,19,Agriculture,2024
IR-G-U-0199,Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu,Jammu and Kashmir,53.91,20,Agriculture,2024
IR-G-S-8898,"National Institute of Food Technology, Enterprenurship and Management",Sonipat,Haryana,52.37,21,Agriculture,2024
IR-G-U-0379,Lovely Professional University,Phagwara,Punjab,51.01,22,Agriculture,2024
IR-G-U-0123,Anand Agricultural University,Anand,Gujarat,50.69,23,Agriculture,2024
IR-G-U-0375,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana,Punjab,50.52,24,Agriculture,2024
IR-G-U-0246,University of Agricultural Sciences,Dharwad,Karnataka,50.52,24,Agriculture,2024
IR-G-U-0004,Acharya N G Ranga Agricultural University,Guntur,Andhra Pradesh,50.24,26,Agriculture,2024
IR-G-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,49.92,27,Agriculture,2024
IR-G-U-0591,West Bengal University of Animal and Fishery Sciences,Kolkata,West Bengal,48.3,28,Agriculture,2024
IR-G-U-0075,Dr Rajendra Prasad Central Agricultural University,Samastipur,Bihar,47.94,29,Agriculture,2024
IR-G-U-0259,Kerala University of Fisheries and Ocean Studies,Kochi,Kerala,47.84,30,Agriculture,2024
IR-G-U-0336,Central Agricultural University,Imphal West,Manipur,47.53,31,Agriculture,2024
IR-G-U-0665,Tamil Nadu Dr.J.Jayalalithaa Fisheries University,Nagapattinam,Tamil Nadu,46.46,32,Agriculture,2024
IR-G-U-0039,Sri Venkateswara Veterinary University,Tirupati,Andhra Pradesh,46.41,33,Agriculture,2024
IR-G-U-0165,Lala lajpat Rai University of Veterinary and Animal Sciences,Hisar,Haryana,46.17,34,Agriculture,2024
IR-G-U-0145,Navsari Agricultural University,Navsari,Gujarat,45.9,35,Agriculture,2024
IR-G-U-0060,Bihar Agriculture University,Bhagalpur,Bihar,45.69,36,Agriculture,2024
IR-G-U-0784,Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,44.73,37,Agriculture,2024
IR-G-U-0458,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,44.63,38,Agriculture,2024
IR-G-U-0087,Indira Gandhi Krishi Vishwavidyalaya,Raipur,Chhattisgarh,44.14,39,Agriculture,2024
IR-G-U-0587,Uttar Banga Krishi Vishwavidyalaya,Cooch Behar,West Bengal,44.05,40,Agriculture,2024
IR-A-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,84.92,1,Architecture,2024
IR-A-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.71,2,Architecture,2024
IR-A-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,79.51,3,Architecture,2024
IR-A-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,69.71,4,Architecture,2024
IR-A-U-0116,School of Planning and Architecture New Delhi,New Delhi,Delhi,69.0,5,Architecture,2024
IR-A-U-0127,Centre for Environmental Planning and Technology University,Ahmedabad,Gujarat,67.23,6,Architecture,2024
IR-A-U-0108,Jamia Millia Islamia,New Delhi,Delhi,66.21,7,Architecture,2024
IR-A-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,65.08,8,Architecture,2024
IR-A-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,64.88,9,Architecture,2024
IR-A-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,63.05,10,Architecture,2024
IR-A-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,61.83,11,Architecture,2024
IR-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,61.75,12,Architecture,2024
IR-A-U-0747,Chandigarh University,Mohali,Punjab,61.47,13,Architecture,2024
IR-A-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,61.01,14,Architecture,2024
IR-A-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,60.79,15,Architecture,2024
IR-A-U-0627,School of Planning and Architecture Vijayawada,Vijayawada,Andhra Pradesh,60.4,16,Architecture,2024
IR-A-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,60.39,17,Architecture,2024
IR-A-C-43708,"College of Engineering, Trivandrum",Thiruvananthapuram,Kerala,58.4,18,Architecture,2024
IR-A-U-0146,Nirma University,Ahmedabad,Gujarat,57.69,19,Architecture,2024
IR-A-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,57.21,20,Architecture,2024
