Idp;Institution;Country;Sector;Rank;Global Rank;Percentage;Percentile
94786;Microsoft, India;IND;Companies;1;2687;0.18;4
61877;IBM India;IND;Companies;2;8709;0.36;4
26206;Council of Scientific and Industrial Research *;IND;Government;3;360;0.54;6
87261;Tata Consultancy Services Ltd, India;IND;Companies;4;9239;0.72;7
3502;VIT University *;IND;Universities;5;661;0.9;12
26239;Indian Council of Agricultural Research *;IND;Government;6;735;1.08;12
3232;All India Institute of Medical Sciences;IND;Universities;7;710;1.27;14
62099;Tata Group, India;IND;Companies;8;9491;1.45;17
3319;Indian Institute of Science;IND;Universities;9;2305;1.63;18
3381;Manipal Academy of Higher Education, India;IND;Universities;10;1539;1.81;18
3324;Indian Institute of Technology, Kharagpur;IND;Universities;11;2907;1.99;19
3321;Indian Institute of Technology, Delhi;IND;Universities;12;2895;2.17;19
3336;International Institute of Information Technology, Hyderabad;IND;Universities;13;6231;2.35;20
3281;University of Delhi *;IND;Universities;14;3042;2.53;20
97185;Translational Health Science and Technology Institute;IND;Health;15;3804;2.71;21
10197;Amity University *;IND;Universities;16;2992;2.89;22
3320;Indian Institute of Technology, Bombay *;IND;Universities;17;3493;3.07;22
3325;Indian Institute of Technology, Madras;IND;Universities;18;3578;3.25;22
71661;Sri Ramaswamy Memorial University;IND;Universities;19;2556;3.44;25
26240;Indian Council of Medical Research *;IND;Health;20;2485;3.62;25
77657;World Health Organization, India;IND;Health;21;4295;3.8;25
80567;Academy of Scientific and Innovative Research;IND;Universities;22;3164;3.98;25
97062;National Agri-Food Biotechnology Institute;IND;Government;23;5888;4.16;25
71662;National Institute of Virology;IND;Health;24;2975;4.34;26
26311;International Crops Research Institute for the Semi-Arid Tropics India;IND;Non-Profit;25;2094;4.52;27
3264;Birla Institute of Technology and Science *;IND;Universities;26;4906;4.7;28
81223;Indraprastha Institute of Information Technology, Delhi;IND;Universities;27;7384;4.88;29
10302;Indian Institute of Technology, Roorkee;IND;Universities;28;4493;5.06;31
3249;Banaras Hindu University;IND;Universities;29;4437;5.24;33
3323;Indian Institute of Technology, Kanpur;IND;Universities;30;5769;5.42;34
3419;Postgraduate Institute of Medical Education and Research;IND;Universities;31;2832;5.61;35
70984;Amrita University;IND;Universities;32;5041;5.79;37
